muy	muy	O
muyo	muir	VIP1
muyes	muir	VIP2
muye	muir	VIP3
muyen	muir	VIP6
muyó	muir	VIX3
muyeron	muir	VIX6
muya	muir	VSP1
muyas	muir	VSP2
muyamos	muir	VSP4
muyáis	muir	VSP5
muyan	muir	VSP6
muyera	muir	VSX1
muyeras	muir	VSX2
muyéramos	muir	VSX4
muyerais	muir	VSX5
muyeran	muir	VSX6
muyere	muir	VSF1
muyeres	muir	VSF2
muyéremos	muir	VSF4
muyereis	muir	VSF5
muyeren	muir	VSF6
muyese	muir	VSI1
muyeses	muir	VSI2
muyésemos	muir	VSI4
muyeseis	muir	VSI5
muyesen	muir	VSI6
muyiendo	muir	VG
muyiéndome	muir	VGSE
muyiéndote	muir	VGSE
muyiéndole	muir	VGSE
muyiéndonos	muir	VGPE
muyiéndoos	muir	VGPE
muyiéndolo	muir	VGMSE
muyiéndola	muir	VGFSE
muyiéndolos	muir	VGMPE
muyiéndolas	muir	VGFPE
muyiéndomelo	muir	VGMSE
muyiéndotelo	muir	VGMSE
muyiéndoselo	muir	VGMSE
muyiéndonoslo	muir	VGMSE
muyiéndooslo	muir	VGMSE
muyiéndomelos	muir	VGMPE
muyiéndotelos	muir	VGMPE
muyiéndoselos	muir	VGMPE
muyiéndonoslos	muir	VGMPE
muyiéndooslos	muir	VGMPE
muyiéndomela	muir	VGFSE
muyiéndotela	muir	VGFSE
muyiéndosela	muir	VGFSE
muyiéndonosla	muir	VGFSE
muyiéndoosla	muir	VGFSE
muyiéndomelas	muir	VGFPE
muyiéndotelas	muir	VGFPE
muyiéndoselas	muir	VGFPE
muyiéndonoslas	muir	VGFPE
muyiéndooslas	muir	VGFPE
